Claim #,R.O. #,VIN #,R.O. Date,Paid Date,Status,Total Labor,Total Parts,Total Payment
039154 ,039154 ,KM8R2DGE5PU494395,05/16/2024,05/28/2024,Accept,111.19,296.72,407.91
040134 ,040134 ,KM8HACA38RU097900,03/02/2024,03/05/2024,Accept,127.07,0.00,154.31
040135 ,040135 ,KMHRC8A39RU305083,03/02/2024,03/05/2024,Accept,127.07,0.00,150.84
040850 ,040850 ,KM8J3CA42JU615847,04/17/2024,05/20/2024,Accept,1032.46,3681.84,4714.30
043387 ,043387 ,KM8KRDDFXRU264025,10/03/2024,06/16/2025,Accept,47.65,0.00,47.65
043469 ,043469 ,KMHLP4DG6RU815425,10/09/2024,11/27/2024,Accept,651.24,3211.58,3862.82
043918 ,043918 ,5NMP5DGL7SH090046,11/09/2024,11/12/2024,Accept,127.07,0.00,174.08
044021 ,044021 ,KM8R2DHEXLU151638,11/25/2024,02/25/2025,Accept,0.00,0.00,3876.00
044079 ,044079 ,5NPE24AF0GH383185,11/19/2024,11/27/2024,Accept,47.65,0.00,47.65
044141 ,044141 ,KM8K6CAB4NU848449,11/25/2024,11/26/2024,Accept,47.65,0.00,47.65
044185 ,044185 ,5NMZUDLB9JH086121,10/25/2024, ,Debit,-1858.44,-2992.84,-4851.28
044637 ,044637 ,KM8R4DHE0LU080024,02/19/2025,03/18/2025,Accept,0.00,0.00,741.00
045112 ,045112 ,5NMP5DG16SH031827,02/07/2025,02/10/2025,Accept,79.42,0.00,79.42
045135 ,045135 ,KMHD35LH2GU325710,02/10/2025,02/27/2025,Accept,222.38,0.00,222.38
045463 ,045463 ,KM8KNDAF4NU096120,03/06/2025,03/10/2025,Accept,63.54,8.62,72.16
045713 ,045713 ,KM8J2CA49KU033927,03/26/2025,03/28/2025,Accept,127.07,0.00,127.07
046002 ,046002 ,KM8R7DGE6SU929810,04/17/2025,04/17/2025,Accept,190.61,0.00,238.69
046133 ,046133 ,KM8KNDAF9PU153107,04/28/2025,05/20/2025,Accept,0.00,0.00,600.00
046293 ,046293 ,KM8R5DHE2LU153276,05/05/2025,05/20/2025,Accept,0.00,0.00,399.00
046295 ,046295 ,5NMS1DAJ1MH308496,05/07/2025,05/09/2025,Accept,0.00,0.00,114.00
046709 ,046709 ,5NTJBDAE7NH026400,06/03/2025,06/16/2025,Accept,158.84,35.71,194.55
046798 ,045932 ,5NPE34AF5FH101148,05/21/2025, ,Deleted,0.00,0.00,1197.00
047321 ,047321 ,KM8KRDAF8PU212037,07/15/2025,07/17/2025,Accept,111.19,0.00,111.19
047416 ,047416 ,7YAMWFS50TY000395,07/23/2025,07/24/2025,Accept,127.07,0.00,147.79
047780 ,047780 ,KM8R24GE3SU946465,08/14/2025,08/27/2025,Accept,79.42,57.52,136.94
048723 ,048723 ,KM8HECA32TU363441,10/16/2025,12/01/2025,Accept,0.00,0.00,1150.00
048887 ,048887 ,KM8HDCA31TU391105,10/24/2025,11/03/2025,Accept,127.07,0.00,159.55
049098 ,049098 ,5NMP3DGL1SH148593,11/05/2025,11/06/2025,Accept,63.54,0.00,66.04
049784 ,049784 ,KM8R7DGE0PU539129,12/23/2025,12/29/2025,Accept,63.54,0.00,63.54
27774P ,027774 ,5NTJDDDF2TH157536,08/13/2025,08/18/2025,Accept,127.07,0.00,172.95
34875C ,043875 ,5XYZUDLA3EG166716,11/06/2024,12/10/2024,Accept,825.97,0.00,825.97
36259A ,036259 ,5NMS3DA13PH005556,03/26/2024,03/27/2024,Accept,47.65,715.15,762.80
36259B ,036259 ,5NMS3DA13PH005556,03/26/2024,03/28/2024,Accept,47.65,588.73,636.38
36721A ,036721 ,5NTJCDAE2NH018010,03/20/2024,03/22/2024,Accept,95.30,718.63,813.93
36721B ,036721 ,5NTJCDAE2NH018010,03/20/2024,03/22/2024,Accept,79.42,458.65,538.07
36796A ,036796 ,KM8NU13C27U025258,06/25/2024,06/27/2024,Accept,381.22,277.07,664.79
37516A ,037516 ,5NPLS4AG5PH093153,04/05/2024,04/08/2024,Accept,47.65,88.20,135.85
37647A ,037647 ,KM8R5DGE9PU549292,08/01/2024,08/02/2024,Accept,47.65,11.66,59.31
37647B ,037647 ,KM8R5DGE9PU549292,08/01/2024,08/02/2024,Accept,79.42,9.67,89.09
37715A ,037715 ,KMHGN4JEXFU016253,10/02/2024,10/03/2024,Accept,111.19,53.23,164.42
37715B ,037715 ,KMHGN4JEXFU016253,10/02/2024,10/03/2024,Accept,31.77,1.55,33.32
37715C ,037715 ,KMHGN4JEXFU016253,10/02/2024,10/03/2024,Accept,47.65,0.00,47.65
37875A ,037875 ,KM8R5DGE1PU549352,05/23/2024,05/28/2024,Accept,79.42,9.67,89.09
37875B ,037875 ,KM8R5DGE1PU549352,05/23/2024,05/28/2024,Accept,47.65,11.66,59.31
37944A ,037944 ,5NMS5CAA7LH250956,05/21/2024,05/28/2024,Accept,47.65,714.81,762.46
38008A ,038008 ,KMHGN4JE7GU129868,05/30/2024,05/30/2024,Accept,111.19,53.23,164.42
38319A ,038319 ,KM8JECAE2NU053859,07/12/2024,07/17/2024,Accept,79.42,416.88,496.30
38424A ,038424 ,5NTJEDAF4PH049636,03/19/2024,03/22/2024,Accept,238.26,18.81,257.07
38453A ,038453 ,5NMJACAE5NH031877,03/11/2024,03/12/2024,Accept,31.77,62.50,94.27
38502A ,038502 ,KM8NUDCC6BU147034,05/06/2024,05/07/2024,Accept,190.61,8.85,205.46
38611A ,038611 ,5NMS3CAD4KH028874,05/02/2024,05/21/2024,Accept,0.00,0.00,4767.63
38704A ,038704 ,5NMSH73E48H170343,03/25/2024,03/26/2024,Accept,349.45,317.92,690.37
38755A ,038755 ,KMHTC6AD8DU102441,05/10/2024,05/13/2024,Accept,47.65,0.71,48.36
38931A ,038931 ,KM8NU4CC2BU172402,03/06/2024,03/07/2024,Accept,381.22,277.07,664.79
38999A ,038999 ,KM8J2CA45KU978809,12/01/2023,12/13/2023,Accept,165.21,1863.12,2028.33
39006A ,039006 ,KMHTC6AD0DU143470,12/01/2023,12/19/2023,Accept,41.30,0.00,41.30
39010A ,039010 ,KM8K6CAB2PU996487,12/01/2023,12/26/2023,Accept,110.14,28.22,138.36
39020A ,039020 ,KM8J3CA45HU425034,12/04/2023,03/26/2024,Accept,41.30,0.00,41.30
39020B ,039020 ,KM8J3CA45HU425034,12/04/2023,03/26/2024,Accept,123.91,0.00,123.91
39020C ,039020 ,KM8J3CA45HU425034,02/08/2024,03/27/2024,Accept,1032.46,3681.84,4714.30
