DOCUMENT TYPE,INVOICE NUMBER,INVOICE DATE,REMARKS,PREVIOUS BALANCE,NEW INVOICES,PAYMENTS RECEIVED,OUTSTANDING BALANCE
Credit Memo,6402574448,12/01/25,AA0001231277,,,-4500.00,-4500.00
Credit Memo,6402572893,12/01/25,FA0001229381,,,-24179.00,-24179.00
Credit Memo,6402573850,12/01/25,HB0001230338,,,-27597.00,-27597.00
Credit Memo,6402625031,12/05/25,PD10676627,,,-1469.31,-1469.31
Credit Memo,6402625823,12/05/25,W000755604,,,-13859.78,-13859.78
Credit Memo,6402628155,12/08/25,PARTSCTAC001399,,,-264.21,-264.21
Credit Memo,6402658708,12/11/25,PARTS-CTAC001938,,,-111.68,-111.68
Credit Memo,6402714225,12/12/25,PD10677651,,,-826.21,-826.21
Credit Memo,6402715598,12/12/25,W000756713,,,-7078.39,-7078.39
Credit Memo,6402712443,12/15/25,HPPCLM20251215,,,-1993.00,-1993.00
Credit Memo,6402685468,12/15/25,PARTS-CTAC002424,,,-127.18,-127.18
Credit Memo,6402691295,12/16/25,MSP MS NOV 2025,,,-1000.00,-1000.00
Credit Memo,6402713521,12/18/25,MISC TIRE 112025-PROMO,,,-2430.50,-2430.50
Credit Memo,6402727476,12/19/25,PARTS-CTAC003182,,,-484.91,-484.91
Credit Memo,6402747839,12/19/25,PD10678676,,,-174.25,-174.25
Credit Memo,6402748885,12/19/25,W000757825,,,-8516.34,-8516.34
Credit Memo,6402738241,12/22/25,BRANDAM-0001233082,,,-10500.00,-10500.00
Credit Memo,6402739990,12/22/25,PARTSCTAC003429,,,-1026.60,-1026.60
Credit Memo,6402788357,12/26/25,PD10679680,,,-512.73,-512.73
Credit Memo,6402789466,12/26/25,W000758940,,,-13399.48,-13399.48
Credit Memo,6402800281,12/31/25,CI1001894811,,,-17718.00,-17718.00
Invoice,6402643578,12/01/25,KM66437128,,11724.00,,11724.00
Invoice,6402565710,12/01/25,MISC ETA 202511,,155.00,,155.00
Invoice,6402575999,12/01/25,PARTS-PMAC000530,,475.90,,475.90
Invoice,6402575998,12/01/25,PARTS-PQAC000353,,194.12,,194.12
Invoice,6402575997,12/01/25,PARTS-PTAC000085,,760.53,,760.53
Invoice,6402575996,12/01/25,PARTS-PTAC000086,,1207.76,,1207.76
Invoice,6402575995,12/01/25,PARTS-PTAC000087,,219.27,,219.27
Invoice,6402575994,12/01/25,PARTS-PTAC000088,,232.42,,232.42
Invoice,6402575993,12/01/25,PARTS-PTAC000089,,62.75,,62.75
Invoice,6402575992,12/01/25,PARTS-PTAC000090,,1309.78,,1309.78
Invoice,6402575991,12/01/25,PARTS-PTAC000091,,2550.00,,2550.00
Invoice,6402575990,12/01/25,PARTS-PTAC000237,,0.57,,0.57
Invoice,6402567437,12/01/25,PARTSFEE-FT5C003597,,465.00,,465.00
Invoice,6402584449,12/02/25,PARTS-PLAC004060,,68.78,,68.78
Invoice,6402584448,12/02/25,PARTS-PTAC000320,,79.20,,79.20
Invoice,6402584447,12/02/25,PARTS-PTAC000321,,757.03,,757.03
Invoice,6402584446,12/02/25,PARTS-PTAC000322,,77.80,,77.80
Invoice,6402584445,12/02/25,PARTS-PZAC001691,,38.57,,38.57
Invoice,6402594343,12/03/25,PARTS-PLAC007246,,215.00,,215.00
Invoice,6402594342,12/03/25,PARTS-PTAC000512,,0.70,,0.70
Invoice,6402594341,12/03/25,PARTS-PTAC000513,,127.18,,127.18
Invoice,6402594340,12/03/25,PARTS-PTAC000514,,4.38,,4.38
Invoice,6402594339,12/03/25,PARTS-PTAC000515,,999.10,,999.10
Invoice,6402594338,12/03/25,PARTS-PTAC000516,,179.16,,179.16
Invoice,6402594368,12/03/25,PARTS-PTAC000517,,18.95,,18.95
Invoice,6402592681,12/03/25,SDS 112025,,74.95,,74.95
Invoice,6402602865,12/04/25,PARTS-PLAC009844,,6.96,,6.96
Invoice,6402602864,12/04/25,PARTS-PTAC000797,,757.16,,757.16
Invoice,6402602863,12/04/25,PARTS-PTAC000798,,89.00,,89.00
Invoice,6402602862,12/04/25,PARTS-PTAC000799,,4.18,,4.18
Invoice,6402602861,12/04/25,PARTS-PTAC000800,,360.00,,360.00
Invoice,6402612036,12/05/25,PARTS-PTAC001058,,570.48,,570.48
Invoice,6402612035,12/05/25,PARTS-PTAC001059,,246.00,,246.00
Invoice,6402612032,12/05/25,PARTS-PTAC001060,,91.60,,91.60
Invoice,6402628154,12/08/25,PARTS-PTAC001285,,1.80,,1.80
Invoice,6402628124,12/08/25,PARTS-PTAC001286,,402.96,,402.96
Invoice,6402628094,12/08/25,PARTS-PTAC001287,,131.63,,131.63
Invoice,6402628093,12/08/25,PARTS-PTAC001288,,20.56,,20.56
Invoice,6402628092,12/08/25,PARTS-PZAC007066,,38.57,,38.57
Invoice,6402623848,12/08/25,PARTSEYE D 112025,,65.00,,65.00
Invoice,6402635958,12/09/25,PARTS-PTAC001482,,490.52,,490.52
Invoice,6402645914,12/10/25,MISC TECH STAR 11 2025,,360.00,,360.00
Invoice,6402647958,12/10/25,PARTS-PLAC024347,,29.00,,29.00
Invoice,6402647957,12/10/25,PARTS-PLAC024348,,1309.78,,1309.78
Invoice,6402647956,12/10/25,PARTS-PTAC001645,,200.00,,200.00
Invoice,6402647955,12/10/25,PARTS-PTAC001646,,29.89,,29.89
Invoice,6402647954,12/10/25,PARTS-PTAC001647,,141.22,,141.22
Invoice,6402647953,12/10/25,PARTS-PTAC001648,,213.68,,213.68
Invoice,6402647952,12/10/25,PARTS-PTAC001649,,1021.56,,1021.56
Invoice,6402647951,12/10/25,PARTS-PTAC001650,,743.29,,743.29
Invoice,6402656289,12/11/25,MISC-REST-112471,,1150.00,,1150.00
Invoice,6402658707,12/11/25,PARTS-PTAC001833,,319.27,,319.27
Invoice,6402658706,12/11/25,PARTS-PTAC001834,,371.85,,371.85
Invoice,6402658705,12/11/25,PARTS-PTAC001835,,1947.22,,1947.22
Invoice,6402658704,12/11/25,PARTS-PZAC011452,,2541.97,,2541.97
Invoice,6402656891,12/11/25,SLT-XTIME 12-2025,,2675.00,,2675.00
Invoice,6402667092,12/12/25,LEADS 112025,,28.00,,28.00
Invoice,6402668900,12/12/25,PARTS-PLAC031604,,62.71,,62.71
Invoice,6402668899,12/12/25,PARTS-PTAC002025,,183.63,,183.63
Invoice,6402668898,12/12/25,PARTS-PTAC002026,,360.75,,360.75
Invoice,6402668897,12/12/25,PARTS-PTAC002027,,693.37,,693.37
Invoice,6402679891,12/15/25,DWP CGI 112025,,300.00,,300.00
Invoice,6402681131,12/15/25,DWP112025,,2271.00,,2271.00
Invoice,6402681755,12/15/25,DWPCHAT112025,,544.00,,544.00
Invoice,6402683519,12/15/25,GOOGLE INVENTORY 12/2025,,49.50,,49.50
Invoice,6402712444,12/15/25,HPPCON20251215,,7800.00,,7800.00
Invoice,6402683007,12/15/25,HXOM1125,,929.00,,929.00
Invoice,6402685467,12/15/25,PARTS-PLAC037185,,47.88,,47.88
Invoice,6402685466,12/15/25,PARTS-PLAC037186,,46.76,,46.76
Invoice,6402685465,12/15/25,PARTS-PTAC002268,,478.82,,478.82
Invoice,6402685464,12/15/25,PARTS-PTAC002269,,165.32,,165.32
Invoice,6402685463,12/15/25,PARTS-PTAC002270,,41.27,,41.27
Invoice,6402685462,12/15/25,PARTS-PTAC002271,,378.01,,378.01
