"Account Number","Account Name","Category"
"200","Petty Cash","Cash and Contracts"
"202","Cash in Bank","Cash and Contracts"
"203","Cash On Hand","Cash and Contracts"
"205","Contracts In Transit","Cash and Contracts"
"210","Customer Notes","Customer Receivables"
"220A","Accounts Receivable - Customer Service, Parts Body Shop","Customer Receivables"
"222","Accounts Receivable - Retail Vehicles","Customer Receivables"
"223","Lease & Rental Accounts","Customer Receivables"
"224","Wholesale & Dealer Trades","Customer Receivables"
"225","Service Contract Receivables","Customer Receivables"
"226A","Warranty Claims - Hyundai","Customer Receivables"
"226B","Warranty Claims - Other Franchise","Customer Receivables"
"227A","Factory Receivables/Incentives - Hyundai","Customer Receivables"
"227B","Factory Receivables/Incentives-Other Franchise","Customer Receivables"
"228A","Holdback - Hyundai","Customer Receivables"
"228B","Holdback - Other Franchise","Customer Receivables"
"229","Floor Plan Assistance","Customer Receivables"
"229A","Transportation Claims","Customer Receivables"
"229B","Floor Plan Assistance - Other","Customer Receivables"
"233","Wholesale Assistance - Hyundai","Customer Receivables"
"230A","Demonstrators - Hyundai","Vehicle Inventories"
"230B","Demonstrators - Other Franchise","Vehicle Inventories"
"231A","New Vehicles - Hyundai","Vehicle Inventories"
"231B","New Vehicles - Other Franchise","Vehicle Inventories"
"234","LIFO Reserve - New Vehicle","Vehicle Inventories (Contra-Asset)"
"235","LIFO Reserve - Used Vehicle","Vehicle Inventories (Contra-Asset)"
"239","Used Vehicles - Hyundai","Vehicle Inventories"
"240","Used Vehicles - Other","Vehicle Inventories"
"252","Hyundai Certified Used Vehicles (HCUV)","Vehicle Inventories"
"242A","Parts & Accessories - Hyundai","P&A Inventories"
"242B","Parts & Accessories - Other Franchise","P&A Inventories"
"243","Miscellaneous Inventories","P&A Inventories"
"244","Gas, Oil, Grease","Other Inventories"
"244A","Tires","Other Inventories"
"245","Paint & Body Shop Materials","Other Inventories"
"246","Sublet Repairs","Other Inventories"
"247","Work in Process - Labor","Other Inventories"
"248","Non-Automotive Inventory (for resale)","Other Inventories"
"249","Parts Inventory Adjustment","Other Inventories"
"251","LIFO Reserve P & A","Other Inventories (Contra-Asset)"
"260","Securities, Money Market & CDs","Investments/Other"
"261","Trade Receivables Affiliates","Receivables"
"262","Due from Finance Companies","Receivables"
"264","Finance & Insurance Receivables","Receivables"
"269","(Prepaid) Advertising","Prepaids"
"270","(Prepaid) Taxes","Prepaids"
"271","(Prepaid) Insurance","Prepaids"
"272","(Prepaid) Rent","Prepaids"
"273","(Prepaid) Interest","Prepaids"
"274","(Prepaid) Other","Prepaids"
"280","Land - Auto Business Only","Fixed Assets"
"281","Building & Improvements - Auto Business Only","Fixed Assets"
"282","Service Equipment","Fixed Assets"
"283","Parts & Accessories Equipment","Fixed Assets"
"284","Furniture & Fixtures","Fixed Assets"
"285","Company Vehicles","Fixed Assets"
"286","Leaseholds","Fixed Assets"
"287","Lease & Rental Units - Fixed","Fixed Assets"
"290","Deposits on Contracts","Miscellaneous"
"291","Life Insurance - Cash Value","Miscellaneous"
"293","Notes & Accounts Receivable - Officers & Owners","Miscellaneous"
"294","Advances to Employees, Affiliates & Other","Miscellaneous"
"295","Other Notes and Accounts Receivables","Miscellaneous"
"296","Intangibles, Other Investment & Miscellaneous Assets","Miscellaneous"
