CODE,DESCRIPTION,REPORT
AA,ADVERTISING ASSESSMENT,RPT-1064
AGI,DEALER SIGN PROGRAM,RPT-1056
AIADA,AIADA ANNUAL DUES,RPT-1056
APPAREL,MERCHANDISE & APPAREL,RPT-1051
BRANDAM,BRAND AMBASSADOR,RPT-1062
BRID,BRAND IDENTITY PROGRAM,RPT-1056
CDF,COURTESY DELIVERY FEE,RPT-1054
CI,CONTEST & INCENTIVES,RPT-0160
CIP 2.0,CIP 2.0 PROGRAM FIXTURES,
COOP SALES,NEW VEHICLE CO-OP,RPT-1056
CRM,CRM UTILIZATION PROGRAM,RPT-1056
CS,CUSTOMER SATISFACTION,RPT-1070
DSP,DEALER SUPPORT PROGRAM,RPT-0425
DWP,DEALER WEBSITE PROGRAM,RPT-1056
EVOLVE,IONIQ EVOLVE EARNBACK,RPT-1062
FA,DEALER FLOORING ALLOWANCE,RPT-1061
GCMCLM,HCI GCM CLAIMS,GCI-003
GDSI,GLOBAL DEALER SPACE IDENTITY,RPT-1056
GEV,GENESIS EV DELIVERY,RPT-1075
GEVX,GENESIS EV EXPERIENCE FUND,RPT-1062
GGA,GENESIS GENUINE ADVANTAGE,RPT-1051
GOOGLE,GOOGLE CARS FOR SALE,RPT-1056
GPPCLM,HCI GPP CLAIMS,GCI-002
GPPCON,HCI GPP CONTRACTS,GCI-001
HB,DEALER HOLDBACK,RPT-1060
HCUV/GCPO,CUV/CPO CERTIFICATION FEES,RPT-5302
HGG,GO GENUINE PROGRAM,RPT-1051
HOW,HOPE ON WHEELS KIT,RPT-1056
HPPCLM,HCI HPP CLAIMS,HCI-002
HPPCON,HCI HPP CONTRACTS,HCI-001
IS,DCS MONTHLY FEES,RPT-0350
KEY,LASER CUT KEY PROGRAM,RPT-1051
KM,ESSENTIAL TOOLS,RPT-0400
LEADS,LEADS PROGRAMS,RPT-1056
LEASE,LEASE SERVICE REIMBURSEMENT,RPT-1056
MISC PROG,MISCELLANEOUS PROGRAMS,RPT-1056
MSP,MARKET SUPPORT PROGRAM,RPT-1056
NO SHOW,TRAINING 'NO SHOW' CHARGE,RPT-1056
NST,NATIONAL SALES/RETAILER,RPT-1056
OCP,OWNER COMMUNICATION,RPT-0550
PARTS,INVOICES/CREDITS/CLAIMS,2007-9/30
PARTSFEE,PARTSEYE FEE/D2D EXPRESS,RPT-0200
PDI,PRE DELIVERY INSPECTION,RPT-4306
PPCON,HCI POWER PROTECT CONTRACTS,HCI-003
PPLT,PARTS PRICE LIST,RPT-1048
PS PROMO,PARTS AND SERVICE PROMOTION,RPT-1056
RXR,RX REWARDS,RPT-1062
SDS,SERVICE DIGITAL SIGNAGE,RPT-1048
SLI,SERVICE LOANER INSURANCE,RPT-4325
SLT,SERVICE LANE TECHNOLOGY,RPT-1056
SO,SERVICE OPERATIONS,RPT-1603
SR,SERVICE RENTAL,RPT-1050
TECH FEE,TECHNOLOGY FEE,RPT-1051
UO,CUV/CPO WARRANTY SETTLEMENT,RPT-4302
VALET,SERVICE VALET PROGRAM,RPT-1056
Wo,WARRANTY STATEMENT,RPT-4301
X,OWNER MARKETING,RPT-1051
