"Account Number","Account Name","Category"
"300","Accounts Payable - Trade Creditors","Current Liabilities"
"301","License & Registration Fees","Current Liabilities"
"303","Vehicle Protection - Warranties Payable","Current Liabilities"
"309","Vehicle Lien Payable","Current Liabilities"
"310","New Vehicles & Demonstrators - Hyundai","Floor Plan Payable"
"310A","New Vehicles & Demonstrators - Other Franchise","Floor Plan Payable"
"311","Used Vehicles - Hyundai","Floor Plan Payable"
"312","Used Vehicles - Other Franchise","Floor Plan Payable"
"313A","Lease and Rental Units - Current","Current Liabilities"
"314","(Notes Payable) Other","Current Liabilities"
"315","Current Portion - Long Term Debt / Capital Loans","Current Liabilities"
"320","(Accrued) Interest","Accrued Liabilities"
"321","(Accrued) Payroll","Accrued Liabilities"
"322","(Accrued) Insurance","Accrued Liabilities"
"323","(Accrued) Taxes - Payroll","Accrued Liabilities"
"324","(Accrued) Taxes - Sales","Accrued Liabilities"
"325","(Accrued) Taxes - Other than Payroll, Sales & Income Tax","Accrued Liabilities"
"326","(Accrued) Income Taxes - Previous Year","Accrued Liabilities"
"327","(Accrued) Income Taxes - Current Year","Accrued Liabilities"
"328","(Accrued) Bonuses - Employees","Accrued Liabilities"
"329","(Accrued) Bonuses - Owners","Accrued Liabilities"
"330","(Accrued) Pension Fund & Profit Sharing","Accrued Liabilities"
"331","Other Accrued Liabilities","Accrued Liabilities"
"332","Reserve for Repossessions, F&I, Service Contract Losses","Long Term Liabilities"
"333","Deferred Income Taxes","Long Term Liabilities"
"334","Long Term Debt / Capital Loans","Long Term Liabilities"
"335","Mortgages Payable","Long Term Liabilities"
"336","Notes Payable - Officers and Owners","Long Term Liabilities"
"340","Allowance for Doubtful Accounts","Depreciation & Amortization (Contra-Asset)"
"351","Depreciation of Buildings & Improvements","Depreciation & Amortization (Contra-Asset)"
"352","Depreciation of Machinery and Shop Equipment","Depreciation & Amortization (Contra-Asset)"
"353","Depreciation of Parts & Accessories Equipment","Depreciation & Amortization (Contra-Asset)"
"354","Depreciation of Furniture & Fixtures","Depreciation & Amortization (Contra-Asset)"
"355","Depreciation of Company Vehicles","Depreciation & Amortization (Contra-Asset)"
"356","Amortization of Leaseholds","Depreciation & Amortization (Contra-Asset)"
"357","Depreciation of Lease & Rental Units","Depreciation & Amortization (Contra-Asset)"
"360","Capital Stock","Net Worth (Equity)"
"370","Retained Earnings","Net Worth (Equity)"
"375","Dividends","Net Worth (Equity)"
"376","Additional Paid in Capital","Net Worth (Equity)"
"377","Treasury Stock","Net Worth (Equity)"
"378","Other Disbursements","Net Worth (Equity)"
"380","Investments","Net Worth (Equity)"
"390","Drawings","Net Worth (Equity)"
"399","Profit or (Loss)","Net Worth (Equity)"
