"Account Number","Account Name","Department/Category"
"401","Hyundai New Vehicle Retail - Sonata","New Vehicles"
"403","Hyundai New Vehicle Retail - Elantra","New Vehicles"
"406","Hyundai New Vehicle Retail- Santa Fe","New Vehicles"
"408","Hyundai New Vehicle Retail - Tucson","New Vehicles"
"409","Hyundai Car & Truck Fleet","New Vehicles"
"414A","Hyundai Protection Plan","New Vehicles"
"415A","Extended Service Contracts - Hyundai","New Vehicles"
"415B","Extended Service Contracts - Other Franchise","New Vehicles"
"417A","Aftermarket Income - Hyundai","New Vehicles"
"417B","Aftermarket Income - Other Franchise","New Vehicles"
"420","New Car Retail - Other Franchise","New Vehicles"
"421","New Car Fleet - Other Franchise","New Vehicles"
"422","New Car Lease - Other Franchise","New Vehicles"
"423","New Truck Retail - Other Franchise","New Vehicles"
"424","New Truck Fleet - Other Franchise","New Vehicles"
"428","Hyundai New Vehicle Retail - Kona","New Vehicles"
"429","Hyundai New Vehicle Retail- Nexo","New Vehicles"
"447","Hyundai Vehicle Care (HVC)","New Vehicles"
"452B","- Account Reserved for Future Use","New Vehicles"
"452A","- Ambassador - Sales Pillar","New Vehicles"
"492","New Truck Lease - Other Franchise","New Vehicles"
"509","Hyundai New Vehicle Retail - IONIQ 6","New Vehicles"
"514","Hyundai New Vehicle Retail - Palisade","New Vehicles"
"515","Hyundai New Vehicle Retai - Venue","New Vehicles"
"516","Hyundai New Vehicle Retail - Santa Cruz","New Vehicles"
"517","Discontinued Models - Hyundai","New Vehicles"
"518","Hyundai Car Future Product","New Vehicles"
"519","Hyundai New Vehicle Retail - IONIQ 5","New Vehicles"
"520","Hyundai New Vehicle Retail - IONIQ 9","New Vehicles"
"522","Hyundai Truck Future Product","New Vehicles"
"550","Hyundai New Vehicle Retail - IONIQ 5 N","New Vehicles"
"611A","Finance Income - Hyundai","New Vehicles (F&I)"
"611B","Finance Income - Other Franchise","New Vehicles (F&I)"
"613A","Insurance Income - Hyundai","New Vehicles (F&I)"
"613B","Insurance Income - Other Franchise","New Vehicles (F&I)"
"616A","Incentives - Hyundai","New Vehicles (Incentives)"
"616B","Incentives - Other Franchise","New Vehicles (Incentives)"
"618A","Chargebacks - Hyundai","New Vehicles (Chargebacks)"
"618B","Chargebacks - Other Franchise","New Vehicles (Chargebacks)"
"625","Cost of Sales Adj.: New Veh. LIFO","New Vehicles (CoS Adj)"
"652A","Performance Engagement Program (PEP)","New Vehicles (Income)"
